"pyears" "prftshr" "choice" "female" "married" "age" "educ" "finc25" "finc35" "finc50" "finc75" "finc100" "finc101" "wealth89" "race" "stckin89" "irain89"
0 0 1 1 1 63 13 0 0 0 0 1 0 289.5 0 0 0
7 0 1 1 0 57 15 0 0 1 0 0 0 1 1 0 0
0 0 1 1 1 56 12 0 0 0 0 1 0 990 0 1 1
5 0 0 0 1 58 12 0 0 0 1 0 0 50.5999984741211 0 0 0
3 0 0 1 0 61 14 1 0 0 0 0 0 -2.80999994277954 0 1 0
10 0 0 1 1 55 18 0 0 1 0 0 0 30.5 1 0 1
10 0 1 0 1 58 12 0 0 0 1 0 0 244.5 0 0 1
4 0 1 0 1 64 18 0 0 0 1 0 0 360 0 1 1
15 0 1 0 1 63 12 0 0 0 0 1 0 240 0 0 1
34 0 0 1 0 66 14 0 0 1 0 0 0 98.5 0 0 0
25 0 1 0 1 65 17 1 0 0 0 0 0 662 0 1 1
1 0 0 1 1 56 12 0 0 1 0 0 0 226 0 0 1
15 0 1 1 1 56 12 0 0 1 0 0 0 226 0 0 1
5 0 1 1 1 59 12 0 0 0 1 0 0 295.399993896484 0 0 0
6 0 1 0 1 61 17 0 0 0 1 0 0 295.399993896484 0 0 0
14 0 1 1 1 64 18 0 0 0 1 0 0 199 0 1 1
20 1 1 0 1 54 16 0 0 0 1 0 0 113 0 0 0
3 0 0 1 1 68 12 0 0 0 0 0 1 1396.99694824219 0 0 1
7 0 0 1 0 55 12 1 0 0 0 0 0 18 0 0 1
4 0 1 1 0 60 12 1 0 0 0 0 0 81.1999969482422 0 1 1
2 0 1 1 1 57 16 0 0 0 1 0 0 445.5 0 1 1
7 1 0 1 1 62 16 0 0 0 0 1 0 751.997009277344 0 1 1
7 1 0 0 1 64 12 0 0 0 0 1 0 751.997009277344 0 1 1
20 0 1 1 1 60 18 0 0 0 0 0 1 252 0 0 1
1 0 1 1 1 60 16 0 0 1 0 0 0 118.324996948242 0 1 1
2 0 0 0 1 59 10 0 0 1 0 0 0 118.324996948242 0 1 1
1 0 0 1 1 55 13 0 0 0 0 0 1 3.09999990463257 0 0 0
11 0 1 1 0 62 18 0 0 0 1 0 0 1103 0 0 1
1 0 1 1 0 55 14 0 0 1 0 0 0 20 0 0 1
30 0 1 0 1 58 18 0 0 0 1 0 0 114.5 0 0 0
8 0 1 1 0 57 12 0 1 0 0 0 0 25 1 0 1
3 0 1 1 1 57 13 0 1 0 0 0 0 -4.28499984741211 0 0 0
10 0 1 1 1 57 16 0 0 0 0 0 1 895 0 0 0
11 0 1 0 1 70 18 0 1 0 0 0 0 555.5 0 1 0
4 0 1 0 1 65 17 0 0 0 1 0 0 846.400024414062 0 0 1
25 1 0 1 1 67 12 0 1 0 0 0 0 122.699996948242 0 0 1
11 0 1 0 1 59 14 0 0 0 0 1 0 172.100006103516 0 1 1
25 0 1 0 1 61 12 0 1 0 0 0 0 143 0 0 1
15 0 1 1 1 61 16 0 0 1 0 0 0 2 0 0 0
7 0 1 1 0 65 12 0 0 1 0 0 0 31.9500007629395 0 0 0
4 0 1 1 0 62 17 0 1 0 0 0 0 151.615997314453 0 0 1
1 1 0 1 1 55 12 1 0 0 0 0 0 88.5 0 0 0
NA 0 1 0 1 59 18 0 0 0 0 0 1 216 0 0 1
14 1 0 1 0 55 15 1 0 0 0 0 0 101.080001831055 0 1 0
16 0 0 0 1 63 12 0 0 1 0 0 0 1484.99694824219 0 1 1
7 0 0 1 0 62 12 0 0 0 0 0 0 11 0 0 0
6 0 1 0 1 58 12 0 0 1 0 0 0 242.149993896484 0 1 1
16 0 1 1 0 65 11 1 0 0 0 0 0 166 0 1 1
10 0 0 1 1 61 9 0 1 0 0 0 0 57 0 0 1
6 0 1 1 0 55 12 0 0 0 0 0 0 58.9000015258789 1 0 0
10 1 0 1 1 63 12 1 0 0 0 0 0 66.5 0 0 0
27 0 0 0 1 66 12 1 0 0 0 0 0 66.5 0 0 0
5 0 1 0 1 64 8 0 0 1 0 0 0 101.75 0 0 1
8 0 0 0 1 70 12 0 1 0 0 0 0 329 0 0 1
2 0 1 1 1 55 16 0 0 0 0 0 1 -2 0 0 0
28 0 1 0 1 59 16 0 0 1 0 0 0 180 0 0 0
4 0 0 0 1 60 8 1 0 0 0 0 0 10 1 0 0
3 1 0 0 1 57 18 0 0 1 0 0 0 84.7200012207031 0 0 1
36 1 1 0 1 58 12 0 0 0 1 0 0 81 0 0 0
3 0 1 1 1 57 17 0 0 0 0 1 0 116 0 0 0
2 1 0 1 1 60 9 1 0 0 0 0 0 163.800003051758 0 0 0
24 0 1 0 1 61 16 0 0 0 0 1 0 246 0 1 1
29 1 0 1 1 58 17 1 0 0 0 0 0 213 0 0 0
30 1 0 0 1 59 16 1 0 0 0 0 0 213 0 0 0
