# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 21 14:06:08 2018
#
# CONSTRAINT:  where (av_training_set like '%UNK%'
# CONSTRAINT:  and av_pred_class like '%PC%'
# CONSTRAINT:  )
# CONSTRAINT:  order by av_training_set desc, av_pred_class asc
#
# COLUMN kepid:          KepID
# COLUMN tce_plnt_num:   Planet Number
# COLUMN av_training_set: Autovetter Training Set Label
# COLUMN av_pred_class:  Autovetter Predicted Classification
#
rowid,kepid,tce_plnt_num,av_training_set,av_pred_class
145,2440757,1,AFP,AFP
146,2440757,2,AFP,AFP
147,2441151,1,AFP,AFP
148,2441161,1,AFP,AFP
149,2556639,1,UNK,NTP
150,2556650,1,PC,PC
151,2557335,1,UNK,NTP
152,2557335,2,UNK,NTP
153,2578404,1,AFP,AFP
154,2578404,2,AFP,AFP
155,2578404,3,UNK,NTP
156,2578811,1,NTP,AFP
157,2578891,1,NTP,NTP
158,2693450,2,AFP,AFP
159,2693736,1,PC,PC
160,2694337,1,AFP,AFP
161,2694337,2,AFP,AFP
162,2715053,1,AFP,NTP
163,2715113,1,AFP,AFP
164,2715119,1,AFP,AFP
165,2715135,1,PC,PC
166,2830919,1,AFP,AFP
167,2831048,1,UNK,NTP
168,2831055,1,PC,PC
169,2831097,1,UNK,NTP
170,2854927,1,UNK,NTP
171,2854948,1,NTP,NTP
172,2854953,1,UNK,NTP
173,2854953,2,NTP,NTP
174,1295289,1,NTP,NTP
175,1295546,1,AFP,AFP
176,1295546,2,AFP,AFP
177,1296164,1,AFP,AFP
178,1576115,3,AFP,AFP
179,1576115,4,AFP,AFP
180,1576141,1,UNK,AFP
181,1576144,1,AFP,AFP
182,1869607,1,AFP,AFP
183,1869607,2,AFP,AFP
184,1870398,1,PC,PC
185,1870849,1,AFP,AFP
186,2021099,1,UNK,NTP
187,2021100,1,UNK,NTP
188,2021100,2,UNK,NTP
189,2021440,1,AFP,AFP
190,2168333,2,NTP,NTP
191,2168333,3,UNK,NTP
192,2168420,1,UNK,NTP
193,2168420,2,UNK,NTP
194,2307533,1,AFP,AFP
195,2307533,2,UNK,NTP
196,2307533,3,AFP,AFP
197,2308603,1,NTP,NTP
198,2441470,1,UNK,NTP
199,2441495,1,PC,PC
200,2441728,1,AFP,AFP
201,2557350,1,UNK,PC
202,2557430,1,UNK,AFP
203,2557555,1,UNK,NTP
204,2557816,1,PC,PC
205,2578901,1,AFP,AFP
206,2578901,2,AFP,AFP
207,2578901,3,UNK,NTP
208,2695030,1,AFP,AFP
209,2695030,2,AFP,AFP
210,2695110,1,AFP,AFP
211,2696703,1,PC,AFP
212,2715135,2,AFP,NTP
213,2715228,1,AFP,AFP
214,2715245,1,AFP,AFP
215,2831251,1,AFP,AFP
216,2832589,1,PC,PC
217,2832753,1,AFP,AFP
218,2832753,2,AFP,AFP
219,2856756,2,AFP,AFP
220,2856756,3,AFP,AFP
221,2856960,1,UNK,AFP
222,2857323,1,AFP,AFP
223,1296164,2,AFP,AFP
224,1296164,3,AFP,AFP
225,1296721,1,UNK,NTP
226,1429120,1,AFP,AFP
227,1576144,2,AFP,AFP
228,1576144,3,UNK,NTP
229,1576144,4,UNK,NTP
230,1576144,5,UNK,NTP
231,1870849,2,AFP,AFP
232,1870849,3,AFP,AFP
233,1870849,4,AFP,AFP
234,1871056,1,PC,PC
235,2021440,2,AFP,AFP
236,2140360,1,UNK,AFP
237,2141783,1,PC,PC
238,2282763,1,NTP,NTP
239,2282763,2,NTP,NTP
240,2282763,3,NTP,NTP
241,2308957,1,NTP,AFP
242,2309568,1,NTP,NTP
243,2309568,2,NTP,NTP
244,2309579,1,AFP,AFP
245,2442084,1,AFP,AFP
246,2442084,2,AFP,AFP
247,2442118,1,AFP,AFP
248,2442118,2,AFP,AFP
249,2442359,1,AFP,AFP
250,2558163,1,PC,PC
251,2558363,1,AFP,AFP
252,2558370,1,PC,AFP
253,2579043,1,PC,PC
254,2579147,1,AFP,AFP
255,2579147,2,NTP,NTP
256,2579147,3,AFP,AFP
257,2579147,4,UNK,NTP
258,2696938,1,NTP,NTP
259,2697935,1,UNK,AFP
260,2706947,1,UNK,NTP
261,2707097,1,AFP,AFP
262,2715282,1,AFP,AFP
263,2715398,1,AFP,AFP
264,2715487,1,AFP,AFP
265,2715487,2,AFP,AFP
266,2833554,1,AFP,AFP
267,2833554,2,AFP,AFP
268,2834463,1,UNK,PC
269,2857722,3,AFP,AFP
270,2858134,1,UNK,NTP
271,2859299,1,AFP,AFP
272,2859299,2,AFP,AFP
273,1429120,2,AFP,AFP
274,1429589,1,PC,PC
275,1429653,1,AFP,AFP
276,1576558,1,NTP,NTP
277,1577039,1,AFP,AFP
278,1577039,2,AFP,AFP
279,1871056,2,PC,PC
280,1871483,1,UNK,PC
281,1872262,1,UNK,NTP
282,2141938,1,AFP,AFP
283,2141938,2,AFP,AFP
284,2142522,1,PC,PC
285,2156514,1,UNK,NTP
286,2283124,1,AFP,AFP
287,2283124,2,AFP,AFP
288,2283124,3,UNK,NTP
289,2283362,1,AFP,AFP
290,2309579,2,AFP,AFP
291,2309585,1,AFP,AFP
292,2309587,1,AFP,AFP
293,2309587,2,UNK,AFP
294,2309719,1,PC,AFP
295,2442448,1,PC,PC
296,2442551,1,UNK,NTP
297,2443393,1,PC,PC
298,2443753,1,UNK,NTP
299,2558488,1,NTP,NTP
300,2568519,1,UNK,NTP
301,2568971,1,NTP,NTP
302,2568971,2,UNK,NTP
303,2568971,3,UNK,NTP
304,2579814,1,NTP,NTP
305,2579906,1,UNK,NTP
306,2580613,1,UNK,NTP
307,2580872,1,AFP,AFP
308,2707479,1,UNK,NTP
309,2707479,2,AFP,AFP
310,2707479,3,AFP,AFP
311,2707916,1,AFP,AFP
312,2715695,1,PC,PC
313,2715695,2,PC,PC
314,2716801,1,PC,PC
315,2716801,2,UNK,PC
316,2835657,1,NTP,NTP
317,2837111,1,PC,PC
318,2837111,2,UNK,PC
319,2846358,1,UNK,NTP
320,2860656,1,PC,PC
321,2860788,1,UNK,AFP
322,2860793,1,AFP,AFP
323,2860793,2,NTP,NTP
324,1429653,2,AFP,AFP
325,1430207,1,NTP,NTP
326,1430590,1,NTP,NTP
327,1430590,2,UNK,NTP
328,1577039,3,AFP,AFP
329,1577039,4,AFP,AFP
330,1577912,1,UNK,NTP
331,1577912,2,UNK,NTP
332,1872262,2,UNK,NTP
333,1872821,1,PC,PC
334,1872948,1,AFP,AFP
335,1872948,2,AFP,AFP
336,2157247,1,UNK,AFP
337,2157247,2,UNK,AFP
338,2157489,1,AFP,AFP
339,2283362,2,AFP,AFP
340,2297728,1,NTP,NTP
341,2297728,2,NTP,NTP
342,2297729,1,UNK,NTP
343,2309910,1,AFP,AFP
344,2310284,1,NTP,NTP
345,2310284,2,UNK,NTP
346,2310586,1,UNK,NTP
347,2444412,1,PC,PC
348,2444769,1,UNK,NTP
349,2445129,1,AFP,AFP
350,2568971,4,NTP,NTP
351,2569488,1,AFP,AFP
352,2569494,1,AFP,AFP
353,2569516,1,AFP,AFP
354,2580872,2,AFP,AFP
355,2580872,3,AFP,AFP
356,2580882,1,UNK,AFP
357,2581191,1,AFP,AFP
358,2707985,1,AFP,AFP
359,2708156,1,UNK,AFP
360,2708156,2,UNK,NTP
361,2708172,1,AFP,AFP
362,2716853,1,PC,PC
363,2716979,1,UNK,PC
364,2717158,1,PC,PC
365,2846358,2,NTP,NTP
366,2846358,3,NTP,NTP
367,2847816,1,UNK,NTP
368,2849140,1,PC,PC
369,2860866,1,PC,PC
370,2860930,1,NTP,NTP
371,2861126,1,UNK,PC
372,2864938,1,UNK,NTP
373,2969628,1,UNK,NTP
374,1430741,1,AFP,AFP
375,1430741,2,AFP,AFP
376,1431122,1,PC,PC
377,1717528,1,NTP,NTP
378,1717722,1,PC,PC
379,1717722,2,PC,PC
380,1718189,1,PC,PC
381,1872948,3,AFP,AFP
382,1873030,1,UNK,NTP
383,1873513,1,PC,PC
384,2157489,2,AFP,AFP
385,2158190,1,NTP,NTP
386,2158208,1,UNK,NTP
387,2158208,2,AFP,AFP
388,2297739,1,NTP,NTP
389,2297739,2,NTP,NTP
390,2297793,1,NTP,NTP
391,2300319,1,UNK,NTP
392,2422539,1,NTP,NTP
393,2422820,1,UNK,PC
394,2436378,1,AFP,AFP
395,2445129,2,AFP,AFP
396,2445134,1,AFP,AFP
397,2445134,2,AFP,AFP
398,2445154,1,AFP,AFP
399,2570281,1,AFP,AFP
400,2570281,2,AFP,AFP
401,2570432,1,AFP,AFP
402,2570505,1,AFP,AFP
403,2581316,1,PC,PC
404,2581316,2,PC,PC
405,2581452,1,UNK,NTP
406,2708176,1,AFP,AFP
407,2708203,1,AFP,AFP
408,2708221,1,AFP,AFP
409,2708270,1,AFP,AFP
410,2717483,1,AFP,AFP
411,2717483,2,AFP,AFP
412,2717483,3,UNK,NTP
413,2718630,1,UNK,NTP
414,2849805,1,PC,PC
415,2850321,1,UNK,NTP
416,2851014,1,UNK,NTP
417,2969638,2,AFP,AFP
418,2969991,1,AFP,AFP
419,2969991,2,AFP,AFP
420,1431794,1,UNK,NTP
421,1431794,2,UNK,NTP
422,1431794,3,NTP,NTP
423,1432149,1,UNK,NTP
424,1718189,2,PC,PC
425,1718189,3,PC,PC
426,1718290,1,AFP,AFP
427,1995519,1,PC,PC
428,1995732,1,AFP,AFP
429,1995732,2,AFP,AFP
430,1996180,1,PC,PC
431,2158208,3,AFP,AFP
432,2159700,1,NTP,NTP
433,2159852,1,AFP,AFP
434,2300529,1,UNK,NTP
435,2300529,2,UNK,NTP
436,2300529,3,UNK,NTP
437,2436421,1,UNK,NTP
438,2436635,1,UNK,NTP
439,2437060,1,AFP,AFP
440,2437112,1,AFP,AFP
441,2437112,2,AFP,AFP
442,2445298,1,UNK,NTP
443,2445975,1,AFP,AFP
444,2445975,2,AFP,AFP
445,2570760,1,UNK,NTP
446,2570767,1,AFP,AFP
447,2570773,1,AFP,AFP
448,2581457,1,AFP,AFP
449,2581457,2,AFP,AFP
450,2581457,3,UNK,NTP
451,2581554,1,PC,PC
452,2708270,2,UNK,NTP
453,2708278,1,AFP,AFP
454,2708286,1,AFP,AFP
455,2708343,1,AFP,AFP
456,2718630,2,AFP,AFP
457,2718630,3,AFP,AFP
458,2718672,1,UNK,NTP
459,2718778,1,PC,PC
460,2851100,1,AFP,AFP
461,2851100,2,AFP,AFP
462,2852528,1,AFP,AFP
463,2852560,1,AFP,AFP
464,2852560,2,AFP,AFP
465,2970836,1,AFP,AFP
466,2970836,2,AFP,AFP
467,2971415,1,AFP,AFP
468,1432214,1,AFP,AFP
469,1432214,2,AFP,AFP
470,1432789,1,PC,PC
471,1432789,2,PC,PC
472,1718290,2,AFP,AFP
473,1718290,3,AFP,AFP
474,1718594,1,AFP,AFP
475,1718594,2,AFP,AFP
476,1996180,2,PC,PC
477,1996456,1,UNK,NTP
478,1996679,1,AFP,AFP
479,1996679,2,AFP,AFP
480,2159852,2,AFP,AFP
481,2159852,3,AFP,AFP
482,2159852,4,UNK,NTP
483,2161536,1,PC,PC
484,2161623,1,AFP,AFP
485,2300603,1,AFP,AFP
486,2300603,2,AFP,AFP
487,2300603,3,AFP,AFP
488,2300603,4,AFP,AFP
489,2301068,1,UNK,PC
490,2437112,3,AFP,AFP
491,2437149,1,AFP,AFP
492,2437149,2,AFP,AFP
493,2437340,1,UNK,NTP
494,2445975,3,AFP,AFP
495,2446113,1,AFP,PC
496,2446113,2,PC,PC
497,2446623,1,AFP,AFP
498,2571075,1,AFP,AFP
499,2571238,1,PC,PC
500,2571417,1,AFP,AFP
501,2571417,2,AFP,AFP
502,2581674,1,AFP,AFP
503,2581674,2,AFP,AFP
504,2581674,3,AFP,AFP
505,2582539,1,UNK,NTP
506,2708420,1,AFP,AFP
507,2708445,1,AFP,AFP
508,2708614,1,UNK,PC
509,2708787,1,UNK,NTP
510,2718944,1,AFP,AFP
511,2718944,2,AFP,AFP
512,2719125,1,AFP,AFP
513,2852560,3,AFP,AFP
514,2852560,4,AFP,AFP
515,2852810,1,NTP,NTP
516,2852941,1,UNK,NTP
517,2973386,1,PC,PC
518,2973509,1,AFP,AFP
519,2973509,2,AFP,AFP
520,2973800,1,NTP,NTP
521,1433399,1,AFP,AFP
522,1433399,2,AFP,AFP
523,1433399,3,AFP,AFP
524,1718594,3,NTP,NTP
525,1718958,1,PC,PC
526,1719308,1,NTP,NTP
527,1720673,1,NTP,NTP
528,1996773,1,NTP,NTP
529,2010191,1,AFP,AFP
530,2010414,1,AFP,AFP
531,2010414,2,AFP,AFP
532,2161623,2,UNK,AFP
533,2161949,1,UNK,PC
534,2161949,2,UNK,PC
535,2162635,1,UNK,AFP
536,2302548,1,PC,PC
537,2302548,2,PC,PC
538,2303102,1,UNK,NTP
539,2437452,1,UNK,AFP
540,2437488,1,AFP,AFP
541,2437488,2,AFP,AFP
542,2437505,1,AFP,AFP
543,2447832,1,AFP,AFP
544,2447832,2,AFP,AFP
545,2448113,1,UNK,NTP
546,2571417,3,AFP,AFP
547,2571417,4,NTP,NTP
548,2571868,1,UNK,NTP
549,2582800,1,UNK,NTP
550,2583153,1,AFP,AFP
551,2583153,2,AFP,AFP
552,2708885,1,AFP,AFP
553,2710327,1,NTP,NTP
554,2710406,1,AFP,AFP
555,2719125,2,AFP,AFP
556,2719436,1,NTP,NTP
557,2719873,1,AFP,AFP
558,2719873,2,AFP,AFP
559,2852941,2,PC,PC
560,2853029,1,PC,PC
561,2853093,1,PC,PC
562,2853280,1,AFP,AFP
563,2975770,2,PC,PC
564,2975832,1,UNK,NTP
565,2975832,2,UNK,NTP
566,2976017,1,PC,PC
567,1433531,1,UNK,NTP
568,1433899,1,NTP,NTP
569,1433962,1,AFP,AFP
570,1433980,1,UNK,NTP
571,1721157,1,PC,PC
572,1721361,1,NTP,NTP
573,1721795,1,UNK,NTP
574,2010414,3,AFP,AFP
575,2010414,4,AFP,AFP
576,2010607,1,UNK,AFP
577,2162635,2,NTP,NTP
578,2162904,1,AFP,AFP
579,2162904,2,NTP,NTP
580,2162904,3,AFP,AFP
581,2162994,1,UNK,AFP
582,2303304,1,NTP,NTP
583,2303365,1,AFP,AFP
584,2303365,2,AFP,AFP
585,2303365,3,AFP,AFP
586,2303903,1,PC,PC
587,2437505,2,AFP,AFP
588,2437762,1,UNK,NTP
589,2437783,1,AFP,AFP
590,2437783,2,UNK,AFP
591,2448307,1,NTP,NTP
592,2449053,1,AFP,AFP
593,2449074,1,AFP,AFP
594,2449074,2,AFP,AFP
595,2571868,2,AFP,AFP
596,2571868,3,AFP,AFP
597,2572029,1,PC,PC
598,2573056,1,AFP,AFP
599,2583234,1,UNK,NTP
600,2583234,2,UNK,NTP
601,2583667,1,UNK,NTP
602,2583669,1,UNK,NTP
603,2710406,2,AFP,AFP
604,2710406,3,AFP,AFP
605,2710623,1,AFP,NTP
606,2711114,1,UNK,AFP
607,2719928,1,NTP,NTP
608,2719928,2,NTP,NTP
609,2719928,3,NTP,NTP
610,2853280,2,AFP,AFP
611,2853280,3,AFP,AFP
612,2853280,4,UNK,NTP
613,2853280,5,UNK,NTP
614,2985022,2,UNK,NTP
615,2985022,3,UNK,NTP
616,2985054,1,NTP,NTP
617,2985396,1,AFP,AFP
618,2985396,2,AFP,AFP
619,1433980,2,AFP,AFP
620,1433980,3,AFP,AFP
621,1434660,1,AFP,AFP
622,1434660,2,AFP,AFP
623,1724222,1,AFP,AFP
624,1724222,2,AFP,AFP
625,1724513,1,AFP,AFP
626,1724719,1,PC,PC
627,2011424,1,AFP,AFP
628,2011424,2,AFP,AFP
629,2011424,3,AFP,AFP
630,2012722,1,AFP,AFP
631,2012722,2,AFP,AFP
632,2163326,1,NTP,NTP
633,2164165,1,UNK,NTP
634,2164169,1,PC,PC
635,2164726,1,UNK,NTP
636,2304168,1,AFP,AFP
637,2304168,2,AFP,AFP
638,2304235,1,AFP,AFP
639,2304235,2,AFP,AFP
640,2437804,1,AFP,AFP
641,2437897,1,UNK,AFP
642,2438061,1,UNK,AFP
643,2438062,1,AFP,AFP
644,2449090,1,AFP,AFP
645,2449090,2,AFP,AFP
646,2449101,1,AFP,AFP
647,2449245,1,UNK,PC
648,2574201,1,AFP,AFP
649,2574338,1,PC,PC
650,2574543,1,AFP,AFP
651,2574960,1,UNK,NTP
652,2583777,1,AFP,AFP
653,2583777,2,AFP,AFP
654,2584115,1,UNK,NTP
655,2584118,1,UNK,NTP
656,2584163,1,PC,PC
657,2711123,1,AFP,AFP
658,2711123,2,AFP,AFP
659,2711597,1,AFP,AFP
660,2720354,1,UNK,AFP
661,2720354,2,UNK,AFP
662,2720354,3,UNK,NTP
663,2720514,1,AFP,AFP
664,2720582,1,AFP,AFP
665,2853320,1,AFP,AFP
666,2853320,2,AFP,AFP
667,2853320,3,UNK,NTP
668,2986506,1,UNK,NTP
669,2986833,1,PC,PC
670,2987027,1,PC,PC
671,2987433,1,AFP,AFP
672,1434800,1,AFP,AFP
673,1434800,2,AFP,AFP
674,1434800,3,NTP,NTP
675,1570924,1,UNK,NTP
676,1724719,2,PC,PC
677,1724961,1,NTP,NTP
678,1724961,2,UNK,NTP
679,1724961,3,UNK,NTP
680,2013883,1,NTP,AFP
681,2014991,1,AFP,AFP
682,2015013,1,AFP,AFP
683,2164884,1,NTP,NTP
684,2165002,1,PC,PC
685,2165002,2,PC,PC
686,2165188,1,UNK,NTP
687,2304235,3,AFP,AFP
688,2304320,1,PC,PC
689,2304566,1,UNK,NTP
690,2304655,1,UNK,NTP
691,2438070,1,AFP,AFP
692,2438249,1,NTP,NTP
693,2438264,1,PC,PC
694,2438264,2,PC,PC
695,2449383,1,UNK,NTP
696,2449431,1,PC,PC
697,2450716,1,UNK,AFP
698,2450944,1,NTP,AFP
699,2451696,1,UNK,NTP
700,2574960,2,UNK,NTP
701,2575161,1,UNK,NTP
702,2575952,1,UNK,NTP
703,2584879,1,AFP,AFP
704,2584879,2,AFP,AFP
705,2584908,1,NTP,NTP
706,2585092,1,AFP,AFP
707,2711597,2,AFP,AFP
708,2711606,1,AFP,NTP
709,2712582,1,UNK,NTP
710,2712821,1,UNK,NTP
711,2720582,2,AFP,AFP
712,2720582,3,NTP,NTP
713,2720594,1,AFP,AFP
714,2853320,4,AFP,AFP
715,2853446,1,PC,PC
716,2853780,1,PC,PC
717,2853828,1,AFP,AFP
718,2989404,2,PC,PC
719,2989706,1,AFP,PC
720,2990873,1,PC,PC
721,1571088,1,UNK,NTP
722,1571511,1,AFP,AFP
723,1571511,2,AFP,AFP
724,1571717,1,NTP,NTP
725,1725016,1,PC,PC
726,1725193,1,AFP,AFP
727,1849235,1,UNK,NTP
728,1849235,2,AFP,AFP
729,2016979,1,AFP,AFP
730,2016979,2,AFP,AFP
731,2018261,1,UNK,NTP
732,2018685,1,NTP,NTP
733,2165352,1,AFP,AFP
734,2166200,1,AFP,AFP
735,2166206,1,AFP,AFP
736,2305255,1,NTP,NTP
737,2305311,1,AFP,AFP
738,2305372,1,UNK,AFP
739,2305543,1,AFP,AFP
740,2438490,1,AFP,AFP
741,2438490,2,AFP,AFP
742,2438502,1,AFP,AFP
743,2452185,1,UNK,NTP
744,2452289,1,NTP,AFP
745,2452440,1,AFP,AFP
746,2575964,1,AFP,AFP
747,2575964,2,AFP,AFP
748,2575964,3,NTP,NTP
749,2576107,1,PC,PC
750,2576197,1,AFP,AFP
751,2585092,2,AFP,AFP
752,2585092,3,UNK,NTP
753,2585092,4,AFP,AFP
754,2692377,1,PC,AFP
755,2713049,1,PC,PC
756,2714707,1,UNK,NTP
757,2714707,2,AFP,AFP
758,2714707,3,AFP,AFP
759,2720594,2,AFP,AFP
760,2720594,3,UNK,NTP
761,2720828,1,AFP,AFP
762,2721030,1,PC,PC
763,2853828,2,NTP,NTP
764,2853889,1,AFP,AFP
765,2854181,1,PC,PC
766,2854181,2,UNK,PC
767,2854953,3,NTP,NTP
768,2855415,1,UNK,NTP
769,2855603,1,AFP,AFP
770,1571717,2,UNK,NTP
771,1572948,1,AFP,AFP
772,1573174,1,AFP,AFP
773,1849235,3,AFP,AFP
774,1849555,1,UNK,NTP
775,1849702,1,PC,PC
776,1865042,1,PC,PC
777,2018685,2,AFP,AFP
778,2018685,3,AFP,AFP
779,2018906,1,UNK,AFP
780,2019076,1,AFP,AFP
781,2166218,1,AFP,AFP
782,2166218,2,AFP,AFP
783,2167183,1,UNK,NTP
784,2167444,1,UNK,PC
785,2305866,1,PC,PC
786,2305866,2,PC,PC
787,2305866,3,AFP,AFP
788,2305866,4,AFP,AFP
789,2306740,1,AFP,AFP
790,2438502,2,AFP,AFP
791,2438513,1,PC,PC
792,2438517,1,AFP,AFP
793,2439211,1,AFP,AFP
794,2452440,2,AFP,AFP
795,2452450,1,AFP,AFP
796,2452450,2,AFP,AFP
797,2452920,1,NTP,NTP
798,2576224,1,AFP,AFP
799,2576224,2,UNK,NTP
800,2576692,1,AFP,AFP
801,2576692,2,AFP,AFP
802,2577952,1,AFP,AFP
803,2692377,2,AFP,AFP
804,2692377,3,AFP,AFP
805,2693092,1,AFP,AFP
806,2714807,1,NTP,NTP
807,2714831,1,UNK,AFP
808,2714887,1,AFP,NTP
809,3351945,3,AFP,AFP
810,3351945,4,AFP,AFP
811,3352122,1,AFP,AFP
812,3352122,2,AFP,AFP
813,3352751,1,UNK,AFP
814,3440840,2,AFP,AFP
815,3440978,1,PC,PC
816,3440985,1,UNK,NTP
817,3441159,1,AFP,AFP
818,3448817,1,UNK,NTP
819,3449540,1,AFP,AFP
820,3450040,1,PC,PC
821,3453026,1,AFP,AFP
822,3534118,1,AFP,AFP
823,3534192,1,AFP,AFP
824,3534192,2,AFP,AFP
825,3547014,1,AFP,AFP
826,3547014,2,AFP,AFP
827,3547014,3,NTP,NTP
828,3547091,1,AFP,AFP
829,3560301,1,AFP,AFP
830,3560301,2,AFP,AFP
831,3560301,3,UNK,NTP
832,3644071,1,AFP,AFP
833,3644071,2,AFP,AFP
834,3644116,1,AFP,AFP
835,3644116,2,AFP,AFP
836,3659940,1,UNK,AFP
837,3660006,1,UNK,NTP
838,3660006,2,NTP,NTP
839,3660392,1,AFP,AFP
840,3748250,2,AFP,AFP
841,3748250,3,UNK,NTP
842,3748855,1,UNK,PC
843,3748855,2,UNK,PC
844,3764714,2,AFP,AFP
845,3764714,3,UNK,NTP
846,3764879,1,AFP,AFP
847,3765054,1,NTP,NTP
848,3103227,1,PC,PC
849,3103473,1,PC,PC
850,3109550,1,PC,PC
851,3127817,1,UNK,AFP
852,3128325,1,AFP,AFP
853,3128325,2,AFP,AFP
854,3128552,1,PC,PC
855,3230578,2,AFP,AFP
